nom_canonique,nom_normalise,style
Cie des transports,compagnie des transports,
Cie du Levant,compagnie du levant,
Cie du Théâtre des Mots,compagnie du theatre des mots,
Cie El Ajouad,compagnie el ajouad,
Cie EquiNote,compagnie equinote,
Cie Ernesto Barytoni,compagnie ernesto barytoni,
Cie Exodus,compagnie exodus,
Cie Fais pas ci fais pas ça,compagnie fais pas ci fais pas ca,
Cie Frotter/frapper,compagnie frotter frapper,
Cie Garin Trousseboeuf,compagnie garin trousseboeuf,
Cie Gens Pluriels,compagnie gens pluriels,
Cie Grand Maximum,compagnie grand maximum,
Cie Hanoumat,compagnie hanoumat,
Cie in Toto,compagnie in toto,
cie ISI,compagnie isi,
Cie Jamais 203,compagnie jamais 203,
cie Joshua Monten,compagnie joshua monten,
Cie Juglair,compagnie juglair,
Cie Kokeshi,compagnie kokeshi,
Cie L'Absente,compagnie l absente,
Cie L'Arsenal d'Apparitions,compagnie l arsenal d apparitions,
Cie l'Art-Scène,compagnie l art scene,
Cie L'Attraction Céleste,compagnie l attraction celeste,
Cie L'Eolienne,compagnie l eolienne,
Cie l'Home Dibuxat,compagnie l home dibuxat,
Cie l'oubliée,compagnie l oubliee,
Cie la Cigale spectacles,compagnie la cigale spectacles,
cie la limprost,compagnie la limprost,
Cie La Lune Blanche,compagnie la lune blanche,
Cie la Quincaillerie,compagnie la quincaillerie,
Cie La Sauce IMPRObable,compagnie la sauce improbable,
Cie la sensitive,compagnie la sensitive,
Cie La Sociale K,compagnie la sociale k,
Cie Le doux supplice,compagnie le doux supplice,
Cie Le grand Raymond,compagnie le grand raymond,
Cie Le Mouton Carré,compagnie le mouton carre,
Cie Le Théâtre du Zouave,compagnie le theatre du zouave,
Cie Les Aphoristes,compagnie les aphoristes,
Cie Les Assoiffés d'Azur,compagnie les assoiffes d azur,
Cie Les Buissonniers,compagnie les buissonniers,
Cie Les Gamettes,compagnie les gamettes,
Cie les hommes sensibles,compagnie les hommes sensibles,
Cie Les Mots d'Images,compagnie les mots d images,
Cie Les Tombés de la lune,compagnie les tombes de la lune,
Cie Les Zanimos,compagnie les zanimos,
Cie Lez'Arts vers,compagnie lez arts vers,
Cie Lunatic,compagnie lunatic,
cie Marcel et ses drôles de femmes,compagnie marcel et ses droles de femmes,
Cie Marie Lenfant,compagnie marie lenfant,
Cie Max et Maurice,compagnie max et maurice,
Cie MF,compagnie mf,
Cie Mmm,compagnie mmm,
Cie Monad,compagnie monad,
Cie Nathalie Béasse,compagnie nathalie beasse,
Cie NBA Spectacles,compagnie nba spectacles,
Cie Nomorpa,compagnie nomorpa,
Cie non obsolète,compagnie non obsolete,
Cie O'koul,compagnie o koul,
Cie OpUS,compagnie opus,
Cie Pequod,compagnie pequod,
Cie Piment Langue d'Oiseau,compagnie piment langue d oiseau,
Cie Pièces & M.O,compagnie pieces et m o,
Cie Pièces et Main d'Oeuvre,compagnie pieces et main d oeuvre,
Cie Pièces et Main d'œuvre,compagnie pieces et main d œuvre,
Cie Pièces et Mains d'œuvre,compagnie pieces et mains d œuvre,
Cie Punto y Trazo,compagnie punto y trazo,
Cie Qualité Street,compagnie qualite street,
Cie Robin & Juteau,compagnie robin et juteau,
Cie Robin Juteau,compagnie robin juteau,
Cie Sans Soucis,compagnie sans soucis,
Cie Spectabilis,compagnie spectabilis,
Cie Tetrofort,compagnie tetrofort,
Cie théatre brut,compagnie theatre brut,
Cie Théâtre d'Air,compagnie theatre d air,
Cie Théâtre en actes,compagnie theatre en actes,
cie tout par terre,compagnie tout par terre,
Cie Umbral,compagnie umbral,
Cie Un château en Espagne,compagnie un chateau en espagne,
Cie Un loup pour l'homme,compagnie un loup pour l homme,
Cie Zutano BaZar,compagnie zutano bazar,
Cie à trois branches,compagnie a trois branches,
Cies Pagnozoo & Lawen,cies pagnozoo et lawen,
CIMRYA DEAL,cimrya deal,
CIMRYA DEAL & THE CUCKHOLDERS,cimrya deal et the cuckholders,
Cinéma plein air,cinema plein air,
Cinémaniak et Cie,cinemaniak et cie,
CIRCLES,circles,
Cirque Baraka,cirque baraka,
Cirque de la Guirlande,cirque de la guirlande,
Cirque en Kit,cirque en kit,
Cirque Exalté,cirque exalte,
Cirque Ici,cirque ici,
Cirque Inshi,cirque inshi,
Cirque La Cie,cirque la cie,
CLAIRE DENAMUR,claire denamur,
CLAIRE DITERZI,claire diterzi,
Classe Terminale,classe terminale,
CLELIA VEGA,clelia vega,
Cliff Paillé,cliff paille,
CLIMAT,climat,
Clint Lutes,clint lutes,
CLM,clm,
Coalescence,coalescence,
COCOON,cocoon,
CODE ROUGE,code rouge,
COLLECTIF 13,collectif 13,
Collectif 3h10,collectif 3h10,
Collectif 507,collectif 507,
Collectif A Sens Unique,collectif a sens unique,
Collectif Bajour,collectif bajour,
Collectif Citron,collectif citron,
Collectif Clafoutis,collectif clafoutis,
Collectif Extra Muros,collectif extra muros,
Collectif Grand Maximum,collectif grand maximum,
Collectif l'avantage du doute,collectif l avantage du doute,
Collectif Martine à la Plage,collectif martine a la plage,
Collectif Pièce Détachée,collectif piece detachee,
Collectif Racyne,collectif racyne,
Collectif sismique,collectif sismique,
Collectif sous les manteaux,collectif sous les manteaux,
Collectif VMC,collectif vmc,
Comment va le monde ?,comment va le monde,
COMOONA FURIA,comoona furia,
Compagnie 29x27,compagnie 29x27,
Compagnie Ecart,compagnie ecart,
Compagnie La Petite Fabrique,compagnie la petite fabrique,
Compagnie Sécateur,compagnie secateur,
Compagnie Toi D'Abord,compagnie toi d abord,
Concert,concert,
Concert à table,concert a table,
concerts,concerts,
CONCRETE KNIVES,concrete knives,
CONDKOI,condkoi,
conso,conso,
Constance,constance,
Contact,contact,
Contes gourmands,contes gourmands,
Copains d'abord,copains d abord,
COSMOSE,cosmose,
Could Seed,could seed,
Couleurs du temps,couleurs du temps,
COURIR LES RUES,courir les rues,
Cowboy ou indien?,cowboy ou indien,
Coyote,coyote,
CRAFT,craft,
CRAZY JUH,crazy juh,
CREO DANCE COMPANY,creo dance company,
Cric et crac ! Patatrac !,cric et crac patatrac,
"Cric, Crac et Carole",cric crac et carole,
CROCODILDO,crocodildo,
Création Acthalia,creation acthalia,
création Cie Acthalia,creation compagnie acthalia,
Cuir,cuir,
CUISINE CENTRALE,cuisine centrale,
CYCLAMEN,cyclamen,
CYESM,cyesm,
Cyrano de Bergerac,cyrano de bergerac,
Cécile Maisonhaute,cecile maisonhaute,
C’est Lutintinnabulant!,c’esaint lutintinnabulant,
D'ASFELD TRIO,d asfeld trio,
D-TRACK,d track,
DABY TOURE,daby toure,
DADAWA,dadawa,
DAGOBA,dagoba,
DAHLIA,dahlia,
DAISIES FIELDS,daisies fields,
DALSEEM,dalseem,
DAME DE CARO,dame de caro,
Damian G Even,damian g even,
DAMIEN ROBITAILLE,damien robitaille,
Dan beyond the clouds,dan beyond the clouds,
DANAKIL,danakil,
DANAÏDE,danaide,
Dancefloor memories,dancefloor memories,
DANDIES,dandies,
DANDY DUB CONCEPT,dandy dub concept,
DARCHALS,darchals,
DARIA,daria,
DAVE GOLITIN,dave golitin,
DAVE GOLITIN & FRIENDS,dave golitin et friends,
DAVE GOLITIN SOLO,dave golitin solo,
DAVE GOLITIN TRIO,dave golitin trio,
David Bonneville,david bonneville,
DAVID GARCIA,david garcia,
David Munelly,david munelly,
DAY OF NOVA,day of nova,
DDAMAGE,ddamage,
De Françoise à Alice,de francoise a alice,
DEATHQUEST,deathquest,
DEBMASTER,debmaster,
DEBOUT SUR,debout sur,
DEBOUT SUR LE ZINC,debout sur le zinc,
DEE HEY ZEE,dee hey zee,
Deep Z Tribute,deep z tribute,
DEER BELLING CAFE,deer belling cafe,
DELGRES,delgres,
DELUXE,deluxe,
Demain,demain,
Demande à la poussière,demande a la poussiere,
DENIS PEAN,denis pean,
DEPORTIVO,deportivo,
Dernier Cri,dernier cri,
Des gars de l’ouest,gars de l’ouest,
DES LIONS POUR DES LIONS,lions pour des lions,
Deux mots,deux mots,
DEVE GOLITIN,deve golitin,
DEVIL HOST,devil host,
DIAMOND & ZE KATS,diamond et ze kats,
DIANA HIGBEE,diana higbee,
