nom,ville,latitude,longitude,geo_source,geo_precision
Le Milwaukee,Le Mans,48.0073849,0.1967849,nominatim,city
Le Moloko,Le Mans,48.0073849,0.1967849,nominatim,city
Le Mulligan,Le Mans,48.0017928,0.1965937,nominatim,exact
Le New Lord's,Le Mans,48.0073849,0.1967849,nominatim,city
Le New York Coffee,Le Mans,48.0073849,0.1967849,nominatim,city
Le Palace,Le Mans,48.0522073,0.1649806,nominatim,approximate
Le Palais,Le Mans,48.0289169,0.283017,nominatim,exact
Le Passeport,Le Mans,48.0073849,0.1967849,nominatim,city
Le Pilier Rouge,Le Mans,48.0082773,0.1970308,nominatim,exact
Le Plongeoir,Le Mans,47.9869609,0.2124284,nominatim,exact
Le Portland Pub,Le Mans,48.0073849,0.1967849,nominatim,city
Le Pâtis,Le Mans,47.9996924,0.1856836,nominatim,exact
Le Quai des Arts,Le Mans,48.0073849,0.1967849,nominatim,city
Le RDV,Le Mans,48.0073849,0.1967849,nominatim,city
Le Rabelais,Le Mans,48.0039089,0.1370274,nominatim,exact
Le Road House,Le Mans,48.0073849,0.1967849,nominatim,city
Le Shaker,Le Mans,48.0073849,0.1967849,nominatim,city
Le Silo,Le Mans,47.9532972,0.1869399,nominatim,exact
Le Spot,Le Mans,48.0165608,0.1503084,nominatim,exact
Le Stan,Le Mans,48.0073849,0.1967849,nominatim,city
Le Sun Rock Avenue,Le Mans,48.0073849,0.1967849,nominatim,city
Le Terminus,Le Mans,48.0107778,0.1820376,nominatim,exact
Le Val de Vray,Le Mans,48.0615886,0.1550515,nominatim,approximate
Le Vaud',Le Mans,48.008075,0.1964926,nominatim,exact
Le Vintage,Le Mans,48.0037339,0.1988477,nominatim,approximate
Le Wagon,Le Mans,48.0073849,0.1967849,nominatim,city
Le Zoo,Le Mans,48.0029954,0.1941222,nominatim,exact
Le bourg,Le Mans,47.98301,0.161243,nominatim,exact
Le chapiteau du Plongeoir,Le Mans,48.0073849,0.1967849,nominatim,city
Le jardin du Plongeoir,Le Mans,48.0073849,0.1967849,nominatim,city
Le port,Le Mans,48.0186939,0.2777374,nominatim,exact
Le salon de la rue des sonnettes,Le Mans,,,,
Le verre tige,Le Mans,48.0083463,0.1965967,nominatim,exact
Les 3 mousses,Le Mans,48.078331,0.1154566,nominatim,exact
Les Allumés du jazz,Le Mans,48.0062096,0.1928736,nominatim,exact
Les Amazones,Le Mans,47.9760841,0.2021583,nominatim,exact
Les Atlantides,Le Mans,47.9881846,0.225766,nominatim,exact
Les Cinéastes,Le Mans,48.0042916,0.2002933,nominatim,exact
Les Docks,Le Mans,47.9720889,0.1769116,nominatim,approximate
Les Filo Folie's,Le Mans,48.0073849,0.1967849,nominatim,city
Les Fêlés du Bocal,Le Mans,48.0073849,0.1967849,nominatim,city
Les Jardins de Belle Garde,Le Mans,48.0073849,0.1967849,nominatim,city
Les Quinconces,Le Mans,48.0078156,0.2007998,nominatim,exact
Les Quinconces - grand théâtre,Le Mans,48.0073849,0.1967849,nominatim,city
Les Quinconces – petit Théâtre,Le Mans,48.0073849,0.1967849,nominatim,city
Les Saulnières,Le Mans,48.02025,0.1824686,nominatim,exact
Les Subsistances,Le Mans,48.0073849,0.1967849,nominatim,city
Les Tourettes,Le Mans,48.0073849,0.1967849,nominatim,city
Les moulins de Paillard,Le Mans,48.0073849,0.1967849,nominatim,city
Les prés Marais,Le Mans,48.0073849,0.1967849,nominatim,city
Libertà,Le Mans,48.0041716,0.1947012,nominatim,exact
Librairie Thuard,Le Mans,48.0055392,0.2007554,nominatim,exact
Lieu-dit Asnières,Le Mans,48.0073849,0.1967849,nominatim,city
Lieu-dit Le Buron,Le Mans,48.0073849,0.1967849,nominatim,city
Local des As,Le Mans,48.0073849,0.1967849,nominatim,city
MJC Prévert,Le Mans,48.0073849,0.1967849,nominatim,city
MPT Jean Moulin,Le Mans,48.0073849,0.1967849,nominatim,city
Maine Saonnois,Le Mans,48.0073849,0.1967849,nominatim,city
Maison Albert,Le Mans,48.0055392,0.2028218,nominatim,approximate
Maison de l'Eau,Le Mans,47.994184,0.2364439,nominatim,exact
Maison de quartier Barbara,Le Mans,47.9858515,0.2128882,nominatim,exact
Maison de quartier Charles Trénet,Le Mans,47.9994099,0.23038,nominatim,exact
Maison de quartier Georges Moustaki,Le Mans,48.0170011,0.215484,nominatim,exact
Maison de quartier Les Aloès,Le Mans,48.0073849,0.1967849,nominatim,city
Maison de quartier Les Ardriers,Le Mans,48.0073849,0.1967849,nominatim,city
Maison de quartier Les Bruyères,Le Mans,47.978831,0.2315293,nominatim,exact
Maison de quartier Pierre Guédou,Le Mans,47.9886932,0.195881,nominatim,exact
Maison de quartier l'Oiselière,Le Mans,48.0148554,0.2257937,nominatim,exact
Maison des habitants,Le Mans,47.9526169,0.1663573,nominatim,exact
Maison du Temps Libre,Le Mans,49.6466275,-1.5836592,nominatim,exact
Mamers,Le Mans,48.177856,0.2347429,nominatim,exact
Marché de la cité des Pins,Le Mans,47.9683929,0.2048038,nominatim,exact
Marché des jacobins,Le Mans,48.008396,0.1989013,nominatim,exact
Moulin du Blaireau,Le Mans,48.0073849,0.1967849,nominatim,city
Mur plein champ Tessé,Le Mans,48.0073849,0.1967849,nominatim,city
Musée Jean-Claude Boulard,Le Mans,48.0071116,0.1981579,nominatim,exact
Musée de Tessé,Le Mans,48.0102902,0.203547,nominatim,exact
Musée de la musique mécanique,Le Mans,48.0073849,0.1967849,nominatim,city
