initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
zz,Soirs d'été,Arts de la rue,Jeudi 18,18h30-21h45,terrain de sport école prim. les Ardriers,,0€,sv,,,spectacles et fanfare chorégraphiée,,,,,,,,,,,,,
zz,Soirs d'été,Arts de la rue,Jeudi 25,18h30-22h30,Place du marché des Sablons,,0€,sv,,,Spectacles & concert,,,,,,,,,,,,,
zz,Soirs d'été,Arts de la rue,Vendredi 12,18h30-23h,Jardins de la cathédrale & jet d'eau,,0€,sv,,,Spectacles & concert,,,,,,,,,,,,,
zz,Soirs d'été,Arts de la rue,Vendredi 19,18h30-21h45,Parc Théodore Monod,,0€,sv,,,spectacles et fanfare chorégraphiée,,,,,,,,,,,,,
zz,Soirs d'été,Arts de la rue,Vendredi 26,18h30-22h,Parc de Tessé,,0€,sv,,,Spectacles & musique,,,,,,,,,,,,,
jlb,Superphoenix (Radio Alpa) souffle ses 35 bougies,,Samedi 20,20h,Bistro Broc Café,Changé,au chapeau,c,,Yves Caillon et Philippe Morin + invités,rock,,,,,,,,,,,,,
ce,Tempo,,Mercredi 24,20h,Blue Zinc,,tnc,c,,,scène ouverte + Jam,,,,,,,,,,,,,
ce,,,Jeudi 4,20h,Blue Zinc,,au chapeau,c,,,Boeuf Bal Folk (musique et danse),,,,,,,,,,,,,
jlb,,,Samedi 6,19h,le Café de la Gare,Chenu,0€,c,,,Scène ouverte (tous les samedis),,,,,,,,,,,,,
zz,,,Dimanche 14,11h,Local des As,,0€,c,,C4,punk rock explosif,,,,,,,,,,,,,
MG,,,Dimanche 14,16h,Moulinsart,Fillé,0€,c,,Toca de ouriço,concert de choro,,,,,,,,,,,,,
MG,,,Dimanche 28,16h,Moulinsart,Fillé,0€,c,,Swing acoustic project,tribute to Reinhardt & Grappelli,,,,,,,,,,,,,
MG,,,Dimanche 7,16h,Moulinsart,Fillé,0€,c,,OWA,pop trip-hop,,,,,,,,,,,,,
ce,,,Jeudi 11,21h,Blue Zinc,,au chapeau,c,,,mus.irlandaise acoustique,,,,,,,,,,,,,
jlb,,,Mardi 2,20h,Bistro Broc Café,Changé,au chapeau,c,,"soirée musicale avec Frédéric, Véro & Kévin",,,,,,,,,,,,,,
jlb,,,Mardi 23,20h,Bistro Broc Café,Changé,au chapeau,c,,Scène ouverte avec Yves,,,,,,,,,,,,,,
jlb,,,Mardi 9,20h,Bistro Broc Café,Changé,au chapeau,c,,Scène ouverte avec Antoine,,,,,,,,,,,,,,
jlb,,,Mercredi 17,20h,Bistro Broc Café,Changé,au chapeau,c,,Louis,,,,,,,,,,,,,,
jlb,,,Mercredi 3,20h,Bistro Broc Café,Changé,au chapeau,c,,Paloma,,,,,,,,,,,,,,
jlb,,,Samedi 13,20h,Bistro Broc Café,Changé,au chapeau,c,,Louis,,,,,,,,,,,,,,
zz,,,Samedi 13,19h,Guinguette des Tanneries,,0€,c,,Jazz kiss,jazz electro,,,,,,,,,,,,,
tu,,,Samedi 13,20h,Le Lapin Blanc,,0€,c,,Paul,rock cover,,,,,,,,,,,,,
tu,,,Samedi 13,20h30,Le Zoo,,au chapeau,c,,Didier 'n co,blues,,,,,,,,,,,,,
ce,,,Samedi 20,20h30,Blue Zinc,,au chapeau,c,,Kirjava,rock inst.,,,,,,,,,,,,,
zz,,,Samedi 20,19h,Guinguette des Tanneries,,0€,c,,Alex De Vries,trio jazz manouche,,,,,,,,,,,,,
jlb,,,Samedi 27,20h,Bistro Broc Café,Changé,au chapeau,c,,RUBik's,,,,,,,,,,,,,,
ce,,,Samedi 27,20h30,Blue Zinc,,au chapeau,c,,Onze,cover rock,,,,,,,,,,,,,
jlb,,,Samedi 6,20h,Bistro Broc Café,Changé,au chapeau,c,,Les copains de la lune,,,,,,,,,,,,,,
