initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
jlb,Théâtre de l’Acthalia,,Samedi 18,20h30,Théâtre Paul Scarron,,12 à 15€,sv,Un parfum de vérité ,Création Acthalia,th.,,,,,,,,,,,,,
jlb,Théâtre de l’Acthalia,,Dimanche 19,16h,Théâtre Paul Scarron,,12 à 15€,sv,Un parfum de vérité ,Création Acthalia,th.,,,,,,,,,,,,,
jlb,Théâtre de l’Acthalia,,Dimanche 26,16h,Espace Henri Salvador,Coulaines,12 à 15€,sv,Un parfum de vérité ,Création Acthalia,th.,,,,,,,,,,,,,
jlb,,,Dimanche 26,15h,Espace Saugonna,Mamers,"2,5 à 5€",sv,Rencontres,,Danse,,,,,,,,,,,,,
zz,,,Dimanche 26,12h30,Le Chapiteau,,1€,sv,Le repas,Cie Alta Gama,cirque,,,,,,,,,,,,,
pl,Superforma fête ses 10 ans / Ondes Silencieuses #4,,Dimanche 26,16h30,Théâtre de Chaoué,Allonnes,5 à 10€,sv,Lullabies,Camilla Sparksss,contes de fées pour adultes,,,,,,,,,,,,,
jlb,,,Dimanche 26,17h,Théâtre du Passeur,,8 à 10€,sv,Anonyme passager,,monologue musical,,,,,,,,,,,,,
ce,,,Jeudi 16,20h30,Blue Zinc,,au chapeau,sv,,Le Snam Comedy club,humour,,,,,,,,,,,,,
jlb,Scènes Complices ,,Jeudi 16,20h,Cité du cirque,,10 à 15€,sv, Révoltes ou tentavies de l'échec,Cie les filles du renard pâle,cirque,,,,,,,,,,,,,
at,,,Jeudi 16,20h30,Théâtre de l’Écluse,,10€ résa au 07 81 84 35 62,sv,Le jeu de l'amour et du hasard,Collectif Pièce Détachée,th.,,,,,,,,,,,,,
pl,,,Jeudi 16,20h30,Salle Jean Carmet,Allonnes,16 à 22€,sv,Inconstance,Constance,Humour,,,,,,,,,,,,,
pl,,,Jeudi 16,20h,Théâtre de Chaoué,Allonnes,prix libre ,sv,Le Moche,Collectif la Capsule,th.,,,,,,,,,,,,,
jlb,,,Jeudi 2,18h30,Cité du cirque,,0€,c,,,Initiation Swing,,,,,,,,,,,,,
at,,,Jeudi 23,20h30,Théâtre de l’Écluse,,10€ résa sms au 07 81 84 35 62,sv,Le jeu de l'amour et du hasard,Collectif Pièce Détachée,th.,,,,,,,,,,,,,
