initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
bl,,,Samedi 4,20h30,Théâtre Épidaure,Bouloire,5/10€,sv,La Maison aux cactus,Cie Jamais 203,th.,,,,,,,,,,,,,
jlb,,,Samedi 25,20h30,Le Rabelais,Changé,7 à 11€,sv,On n'était que deux,Cie non obsolète,th.,,,,,,,,,,,,,
ba,,,Mercredi 15,20h30,Eve,Le Mans,4 à 10€,sv,Backlash ,Groupe Vertigo,th.,,,,,,,,,,,,,
jlb,,,Vendredi 17,20h30,L'Alambik,,tnc,sv,L’Assemblée de femmes,La malle de Pandora,th.,,,,,,,,,,,,,
jlb,,,Vendredi 31,20h30,Théâtre Municipal,Mamers,10 €,sv,merci Jean Claude,,th.,,,,,,,,,,,,,
zz,,,Vendredi 31,20h,Théâtre Paul Scarron,,0 €,sv,Sweet summer et les prétendants,,th.,,,,,,,,,,,,,
tu,,,Jeudi 23,21h,Brasserie Septante Deux,,0 €,sv,,,th. d'impro,,,,,,,,,,,,,
ba,,,Jeudi 30,18h30,Eve,Le Mans,4 à 10€,sv,"Chantal, Hommage à Johnny ",Cie Zutano BaZar,th. dansé,,,,,,,,,,,,,
ba,,,Vendredi 31,12h30,Eve,Le Mans,4 à 10€,sv,"Chantal, Hommage à Johnny ",Cie Zutano BaZar,th. dansé,,,,,,,,,,,,,
pl,,,Mardi 7,18h30,Salle Jean Carmet,Allonnes,"2,50 à 6 €",sv,Petite galerie du Déclin,Cie portés disparus,th. de maiionnettes,,,,,,,,,,,,,
jlb,,,Mardi 14,18h,Espace Henri Salvador,Coulaines,"5,40 à 7,50€",sv,L' atelier d'OKILELE,Cie du théâtre des mots,th. dès 3 ans,,,,,,,,,,,,,
jlb,,,Dimanche 5,16h,14 hameau de verze,Saint-Rémy-du-Val,5 €,sv,Des souvenirs en racine,,th. participatif,,,,,,,,,,,,,
zz,,,Jeudi 16,19h,Guinguette des Tanneries,,au chapeau,c,,Alex De Vries,trio jazz manouche,,,,,,,,,,,,,
