initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
tu,,,Dimanche 15,15h,,Fontenay-sur-Vègre,0 €,sv,Supermouton (Le mystère du joueur de cornemuse),Cie Les tombés de la lune,th. humour > 8 ans,,,,,,,,,,,,,
tu,,,Dimanche 22,18h,Blue Zinc,,au chapeau,sv,Le labo de l'humour du set comedy,,stand-up,,,,,,,,,,,,,
at,,,Dimanche 22,12h30,Chapiteau du plongeoir,,15 à 20€,sv,Le repas,Cirque Inshi,déjeuner circassien,,,,,,,,,,,,,
at,,,Dimanche 22,14h30,chapiteau du plongeoir,,0 €,sv,L’Impondérable,Cie Punto y trazo,cirque,,,,,,,,,,,,,
at,,,Dimanche 22,16h30,Cité du cirque,,5 à 12€,sv,Réfugions-nous,Cie La Mondiale générale,cirque,,,,,,,,,,,,,
tu,,,Dimanche 22,14h - 20h,Domaine de l'Oiselière,Mulsanne,12 à 18€,sv,Riptown,Rust Riders Spectacle,Spectacle équestre,,,,,,,,,,,,,
at,,,Dimanche 22,11h et 14h30,Musée J.-C. Boulard,,0 €,sv,axis mundi,Cie ISI,cirque,,,,,,,,,,,,,
at,16e festival de théâtre amateur,,Dimanche 29,11h30,Espace Scélia,Sargé-lès-le-Mans,0 €,sv,Le temps des compagnies,,apéro rencontre,Jojo au bord du monde ,Troupe Terminado Basta,,Molières ,Cie On se bouge,,,,,,,,
zz,,,Dimanche 29,17h,Le Val’Rhonne,Moncé-en-Belin,6 €,sv,Touik touik Philomène,Cie à trois branches,spectacle musical,,,,,,,,,,,,,
bea,,,Jeudi 12,18H30,Hangar Créalab,Le Mans,prix libre conscient 5€,sv,Les Reines ont les nerfs,GangReines-Nananerf et le Hangar Créalab,"Impro Musique, danse, lectures",,,,,,,,,,,,,
tu,,,Jeudi 19,20h30,Blue Zinc,,8 €,sv,,Le Set Comedy invite Tristan Lucas,humour,,,,,,,,,,,,,
zz,,,Jeudi 19,20h30,L'Olivier,,0 €,sv,Le vertige du virage,"V. Berhault, B. Goutet et J. Scialom",cirque > 10a,,,,,,,,,,,,,
zz,,,Jeudi 19,18h,Place washington,,0 €,sv,"Or, Là…",Le collectif du Plateau,cirque,Au Crépuscule,"Cie 3,6/3,4",cirque & BMX,,,,,,,,,,
zz,Forever Young #4 / Campus en Fête,"DJ Sets, spectacles, th.",Mardi 24,12h30,Campus universitaire,,0 €,sv,Chantal chante Johnny,Cie Zutano BaZar,th.,,LOCOMO,solar groove,,ADÈLE CASTILLON + ISAAC DELUSION,pop,,,,,,,
zz,,,Mercredi 18,20h30,Le Barouf,,0 €,sv,Le vertige du virage,"V. Berhault, B. Goutet et J. Scialom",cirque > 10a,,,,,,,,,,,,,
zz,,,Mercredi 18,18h30,Place des Sablons,,0 €,sv,Au Crépuscule,"Cie 3,6/3,4",cirque & BMX,,,,,,,,,,,,,
tu,Fête des associations,Forum et spectacle,Samedi 14,14h - 18h,Espace Le Narais,Saint-Mars-la-Brière,0 €,sv,La chorale de l'espoir,Cie La pie piétonne,farce clownesque et burlesque,,,,,,,,,,,,,
bea,,,Samedi 14,20h,La Citadelle des Anges,Teloché,28 €,sv,J'imite donc je suis,Gérard Dahan,,,,,,,,,,,,,,
tu,La perche production,,Samedi 14,21h,Salle des concerts,,29 €,sv,Exode(s),Djamil Le Shlag,humour,,,,,,,,,,,,,
at,,,Samedi 21,18h et 22h15,Chapiteau du plongeoir,,5 à 12€,sv,Rapprochons-nous,Cie La Mondiale générale,cirque,,,,,,,,,,,,,
at,,,Samedi 21,19h,Chapiteau du plongeoir,,0 €,sv,"Or, Là…",le Collectif du plateau,cirque,,,,,,,,,,,,,
at,,,Samedi 21,20h30,Chapiteau du plongeoir,,5 à 12€,sv,Rêves,Cirque Inshi,cirque,,,,,,,,,,,,,
tu,,,Samedi 21,15h - 20h,Domaine de l'Oiselière,Mulsanne,12 à 18€,sv,Riptown,Rust Riders Spectacle,Spectacle équestre,,,,,,,,,,,,,
zz,,,Samedi 21,16h30,Jardin du Chapiteau du Plongeoir,,0 €,sv,L’Impondérable,Cie Punto y Trazo,cirque,,,,,,,,,,,,,
at,,,Samedi 21,20h30,L'Eolienne,Arnage,10 à 20€,sv,C'est lalamour,Les Divalala,comédie musicale,,,,,,,,,,,,,
zz,,,Samedi 21,11h & 14h30,Musée J.-C. Boulard,,0 €,sv,Axis Mundi,Cie ISI – Lucas Struna,cirque,,,,,,,,,,,,,
at,16e festival de théâtre amateur,,Samedi 28,14h,Espace Scélia,Sargé-lès-le-Mans,0 €,sv,Point de vue ,les Jourdains du Loir,,Le banc ,les Tréteaux Vénitiens,,Le grand jour,le Gang des Tombés de la Lune,,,,,,,,
bl,,,Samedi 28,15h,Gymnase,Montfort-le-Gesnois,5 €,sv,Le CinérotiC,Cie Jamais 203,th. de rue,Soli mania,Cie Loba,théâtre et danse,,,,,,,,,,
tu,,,Samedi 7,20h30,Aire naturelle,Noyen-sur-Sarthe,4 à 12€,sv,L’Avare,Théâtre Régional des Pays de la Loire,th.,,,,,,,,,,,,,
tu,,,Vendredi 13,18h30,Théâtre Paul Scarron,,0€. Résa au: 06 72 94 92 53,sv,,,"Sortie de résidence du spectacle ""SpeciMen""",,,,,,,,,,,,,
zz,,,Vendredi 20,18h,Café du chapiteau du Plongeoir,,0 €,sv,Le vertige du virage,"V. Berhault, B. Goutet et J. Scialom",cirque > 10a,,,,,,,,,,,,,
zz,,,Vendredi 20,19h,Parvis du chapiteau du Plongeoir,,0 €,sv,"Or, Là…",Le collectif du Plateau,cirque,,,,,,,,,,,,,
at,16e festival de théâtre amateur,,Vendredi 27,20h,Espace Scélia,Sargé-lès-le-Mans,0 €,sv,Silence on tourne ,Les Imaginaires Choeur d'Adultes,,Comme tous les jours ,La Cie au tournant,,,,,,,,,,,
at,,,Vendredi 27,18h30,Le Rabelais,Changé,0 €,sv,Si vous l'osez...!,,visite guidée ouverture de saison,,,,,,,,,,,,,
zz,"Ouverture de saison ""Venez semer de l'Amour !""",,Vendredi 27,19h,Le Val’Rhonne,Moncé-en-Belin,0 €,sv,Parole parle d'Amour,Cie LIv,rock'n'clown,Love boat,L'Orchestra de l'amour,apéro concert,,,,,,,,,,
zz,,,Vendredi 20,20h30,le Chapiteau du Plongeoir,,5 à 12€,sv,Rêves,Cirque Inshi,cirque,,,,,,,,,,,,,
yu,,,Samedi 14,23h512,,Pioncé-sur-Loir,0 €,c,,1Supo & Oli,rap & polochon,,,,,,,,,,,,,
