initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
bl,,,Samedi 7,20h30,Scène J.Le Theule,Sablé-sur-Sarthe,27 à 32€,c,,Tiken Jah Fakoly + Jahkasa,"acoustic Tour, reggae",,,,,,,,,,,,,
bl,,,Dimanche 1,16h,Scène J.Le Theule,Sablé-sur-Sarthe,13 à 25€,sv,Imperfecto,Cie Burnout,danse/musique,,,,,,,,,,,,,
bl,,,Mercredi 18,15h,Scène J.Le Theule,Sablé-sur-Sarthe,8 à 13€,sv,Formidable,Olivier Palmer,,,,,,,,,,,,,,
zz,Association Octavius,,Dimanche 29,16h,Temple protestant,,tnc,sv,60' avec Bach,Liviu Badiu,récital violon,,,,,,,,,,,,,
pl,Ondes silencieuses #3,,Dimanche 8,16h30,Théâtre de Chaoué,Allonnes,8 à 10€,sv,Fil,Leïla Martial & Valentin Ceccaldi,Blues/Jazz,,Valentin Ceccaldi,Blues/Jazz,,,,,,,,,,
pl,,,Samedi 14,20h,Théâtre de Chaoué,Allonnes,5 à 8€,sv,Womenomen,Nadia Simon & Clélia Vega,concert agrémenté,,,,,,,,,,,,,
jlb,,,Dimanche 1,11h,Théâtre du Passeur,,6 à 8€,sv,Bleu Cerise,,Théâtre musical,,,,,,,,,,,,,
jlb,,,Dimanche 15,17h,Théâtre du Passeur,,8 €,sv,Le journal d'un fou,,Théâtre,,,,,,,,,,,,,
jlb,,,Dimanche 22,10h30,Théâtre du Passeur,,0 €,sv,AZ,Imene Sebaha,contes,,,,,,,,,,,,,
jlb,,,Dimanche 8,17h,Théâtre du Passeur,,au chapeau,sv,Clowns en chantiers,Cie Openclown,Clown,,,,,,,,,,,,,
jlb,,,Lundi 23,10h30,Théâtre du Passeur,,0 €,sv,Nuit de fête,Marie Strehaiano,contes,,,,,,,,,,,,,
jlb,,,Lundi 23,17h,Théâtre du Passeur,,0 €,sv,Le roi des bisous,Ludovic Souliman,contes,,,,,,,,,,,,,
jlb,,,Mardi 24,10h30 & 17h,Théâtre du Passeur,,0 €,sv,Doudou to you too,Imene Sebaha,contes,Ami-Ami,Imène Sebaha,Contes,,,,,,,,,,
jlb,,,Samedi 14,18h30,Théâtre du Passeur,,8 €,sv,Le journal d'un fou,,Théâtre,,,,,,,,,,,,,
jlb,,,Samedi 21,10h30,Théâtre du Passeur,,0 €,sv,Nuit de fête,Marie Strehaiano,contes,,,,,,,,,,,,,
jlb,,,Samedi 21,17h,Théâtre du Passeur,,0 €,sv,Cendrillon,Marie Strehaiano,contes,,,,,,,,,,,,,
jlb,,,Vendredi 13,20h30,Théâtre du Passeur,,8 €,sv,Le journal d'un fou,,Théâtre,,,,,,,,,,,,,
jlb,,,Dimanche 8,15h,Théâtre Municipal,Mamers,15 €,sv,L'humour fait son cinéma,Bruno Blondel,humour,,,,,,,,,,,,,
jlb,Théâtre de l’Acthalia,,Dimanche 15,16h,Théâtre Paul Scarron,,10à 18€,sv,Un parfum de vérité,Création Acthalia,Théâtre,,,,,,,,,,,,,
tu,,,Jeudi 12,19h,Théâtre Paul Scarron,,5 €,sv,ONDES,Compagnie Inouïe,concert confidence de Thierry Balasse,,,,,,,,,,,,,
jlb,Théâtre de l’Acthalia,,Jeudi 12,20h30,Théâtre Paul Scarron,,10 à 18€,sv,Un parfum de vérité,Création Acthalia,Théâtre,,,,,,,,,,,,,
jlb,Théâtre de l’Acthalia,,Samedi 14,20h30,Théâtre Paul Scarron,,10 à 18€,sv,Un parfum de vérité,Création Acthalia,Théâtre,,,,,,,,,,,,,
jlb,Théâtre de l’Acthalia,,Vendredi 13,20h30,Théâtre Paul Scarron,,10 à 18€,sv,Un parfum de vérité,Création Acthalia,Théâtre,,,,,,,,,,,,,
tu,,,Vendredi 6,20h30,Twin's Beer,La Chapelle-Saint-Aubin,0 €,c,,twogether,rock,,,,,,,,,,,,,
tu,Showcase,collecte de jouets pour l’association TARMAC,Dimanche 15,15h30,Salle Michel Berger,Savigné-l'Évêque,0 €,c,,BEL,"soul, r&b",,Marine,guitare voix,,,,,,,,,,
tu,Musica Le Mans,,Vendredi 13,20h45,Chapelle de l’Oratoire,,tnc,c,,Diana Higbee Artist & Irina Chpirko,lyrique,,,,,,,,,,,,,
