"initiales","festival","style_festival","date","horaire","lieu","ville","prix","genre","spectacle","artiste1","style1","artiste2","style2","artiste3","style3","artiste4","style4","lien1","lien2","lien3","lien4"
"BL",,,"Jeudi 13","10h15 et 18h30","Espace culturel L'Orée du Bois","La Chapelle-Saint-Aubin","2/3€","sv","Boom","Entre eux deux Rives","spectacle jeune public",,,,,,,,,,
"JLB",,,"Jeudi 13","18h30","Eve scène universitaire",,"4 à 10€","sv","Qui a tué mon père","Et Alors ! ","théâtre",,,,,,,"etalors-compagnie.com",,,
"JLB",,,"Jeudi 13","14h","La Castélorienne","Montval-sur-Loir","7 à 13€","sv","El Botiniere","Association Al Badil","danse",,,,,,,,,,
"JLB","Reporté 2023",,"Jeudi 13","20h30","La Péniche","Allonnes",,"c",,"Mellano",,"Soyoc",,,,,,,,,
"TU","Teriaki",,"Jeudi 13","21h","Le Barouf",,"0€","c",,"SPELTERINI ","Transe Noise Kraut/Kythibong",,,,,,,,,,
"TU",,,"Jeudi 13","20h","Le Pilier Rouge",,"au chapeau","c",,"Dave Golitin","jamm session jazz impro",,,,,,,,,,
"TU",,,"Jeudi 13","20h","Les Quinconces - Petit Théâtre",,"9 à 24€","sv","Le Verso des Images - une histoire de Louis Braille","Atelier Hors Champ",,,,,,,,"https://www.quinconces-espal.com/la-saison/le-verso-des-images",,,
"ce",,,"Jeudi 20","19h30","Blue Zinc",,"au chapeau","c",,"Apéro Brassens","ch. Brassens",,,,,,,,,,
"TU",,,"Jeudi 20","21h","Brasserie Septante Deux",,"prix libre","c",,"Teeth","garage kraut pop",,,,,,,"https://www.facebook.com/teeth33/","https://www.youtube.com/watch?v=9DYiJhDRa8g",,
"TU",,,"Jeudi 20","20h30","Comédie Le Mans",,"tnc","sv","Adopte un Jules.com","E. Valentin & A. Gaston","Comédie",,,,,,,,,,
"JLB",,,"Jeudi 20","20h30","La Castélorienne","Montval-sur-Loir","12 à 26€","c",,"Josef Josef","musique Yddish",,,,,,,,,,
"TU",,,"Jeudi 20","21h","Le Barouf",,"0€","c",,"Steak","trio folk expérimental/Capsul Collectif",,,,,,,,,,
"TU",,,"Jeudi 20","20h30","Le Lézard",,"prix libre","c",,"Brötchen Des Todes","noise psyché/Camaret","Santamore","free rock",,,,,"http://brotchendestodes.ouvaton.org/","https://brotchendestodes.bandcamp.com/?from=search&search_item_id=1081004703&search_item_type=b&search_match_part=%3F&search_page_id=2192926076&search_page_no=0&search_rank=1&logged_in_menubar=true",,
"TU",,,"Jeudi 20","20h","Le Pilier Rouge",,"au chapeau","c",,"Super Pocket","love machine de poche",,,,,,,,,,
"JLB",,,"Jeudi 20","20h30","Les Saulnières ",,"10 à 14€","c",,"Structures","Pop Rock","Johnny Mafia",,,,,,,,,
"BL",,,"Jeudi 20","20H30","Salle Coppélia","La Flèche","7 à 15€","sv","Je ne suis plus inquiet","Scali Delpeyrat",,,,,,,,,,,
"ce",,,"Jeudi 27","19h","Blue Zinc",,"0€","c",,"Apéro des voisins + Open mic/instruments","scène ouverte",,,,,,,,,,
"TU",,,"Jeudi 27","20h","Le Pilier Rouge",,"au chapeau","c",,"Burger Airport","jazz electro fusion",,,,,,,,,,
"JLB",,,"Jeudi 27","10h30 et 17h","Théâtre du Passeur",,"5€","sv","Rendez-vous Contes","Imène Sebaha","contes jusqu'à 3 ans",,,,,,,,,,
"ce","Apéro concert",,"Jeudi 6","19h30","Blue Zinc",,"au chapeau","c",,"Azuryte","folk/pop","Séssion mus Irlandaise",,,,,,,,,
"TU",,,"Jeudi 6","20h30","Comédie Le Mans",,"20€","sv","10 ans de mariage","Alil Vardar","Comédie",,,,,,,,,,
"JLB",,,"Jeudi 6","20h30","La Castélorienne","Montval-sur-Loir","12 à 26€","sv","La dernière lettre","Atelier Théâtre Actuel","théâtre",,,,,,,,,,
"TU",,,"Jeudi 6","21h","Le Barouf",,"0€","c",,"Locomo","solar groove/électro funk",,,,,,,,,,
"zz",,,"Jeudi 6","19h30","Le Local a Bières","Arnage","0€","c",,"Rowéna","Chansons françaises & internationales revisitées",,,,,,,,,,
"TU","Les Jeudis de Panurge",,"Jeudi 6","hnc","Le Rabelais","Changé","tnc","c",,"Troisième Dessous","rock",,,,,,,"https://youtu.be/fe8TVxn0iS0","https://troisiemedessous.bandcamp.com/music",,
"TU","Masterclass de Thierry Jousse","Retrospective Ennio Morricone","Jeudi 6","20h30","Les Cineatses",,"tnc","sv","Les Moissons du ciel","Terrence Malick",,,,,,,,"https://www.facebook.com/events/5527813070627669/?ref=newsfeed",,,
"BL",,,"Jeudi 6","20h30","Salle Coppélia","La Flèche","7 à 15€","sv","Le Bonheur des Uns","Th. du Fracas","th.",,,,,,,,,,
"JLB",,,"Lundi 24","10h30 et 17h","Théâtre du Passeur",,"5€","sv","Rendez-vous Contes","Rozenn Bodin","contes jusqu'à 3 ans",,,,,,,,,,
"ce",,,"Lundi 31","21h","Blue Zinc",,"au chapeau","c",,"Blue Dog night",,,,,,,,,,,
"BL",,,"Lundi 31","10h45 et 16h","Espace culturel Scélia","Sargé-lès-le-Mans","5/7€","sv","Racines","Cie Théâtre Bascule","dès 4 ans en famille",,,,,,,,,,
"ce",,,"Mardi 11","19h30","Blue Zinc",,"0€","c",,"Apérorock",,,,,,,,,,,
"TU",,,"Mardi 11","20h30","Comédie Le Mans",,"20€","sv","10 ans de mariage","Alil Vardar","Comédie",,,,,,,,,,
"TU",,,"Mardi 11","20h30","Le Lézard",,"prix libre","c",,"Octopoulpe","one man band punk/noise/Mexico","Le Crabe","Dirty acide tech",,,,,"https://www.youtube.com/watch?v=leI9NYe2Kk4","https://octopoulpe.bandcamp.com/album/kichompr","https://lecrabe.bandcamp.com/","https://www.youtube.com/watch?v=rs9XAq7bu2k"
"JLB",,,"Mardi 11","18h30","Le Rabelais","Changé","6 à 10€","sv","Boom","Cie entre deux rives","théatre d'objets",,,,,,,,,,
"TU",,,"Mardi 11","20h","Les Quinconces - Petit Théâtre",,"9 à 24€","sv","Le Verso des Images - une histoire de Louis Braille","Atelier Hors Champ",,,,,,,,"https://www.quinconces-espal.com/la-saison/le-verso-des-images",,,
"ce",,,"Mardi 18","20h","Blue Zinc",,"au chapeau","c",,"Old Seed",,,,,,,,,,,
"TU",,,"Mardi 18","20h30","Comédie Le Mans",,"tnc","sv","Adopte un Jules.com","E. Valentin & A. Gaston","Comédie",,,,,,,,,,
"TU","Complet",,"Mardi 18","20h30","L’Éolienne","Arnage","4/6€","sv","Ouatou","Not compagnie","Spectacle poétique > 1 an",,,,,,,"https://notcompagnie.com/spectacles/ouatou/?fbclid=IwAR1kGpz3Btx9lgGEZHacCvxyBf6aOavr1NmtHLISdvw4f2iqXP0ld-1qe1U",,,
"ce",,,"Mardi 25","21h","Blue Zinc",,"0€","c",,"Open mic/instruments","scène ouverte",,,,,,,,,,
"JLB",,,"Mardi 25","15h30","Centre Culturel Athéna","La Ferté-Bernard","5€","sv","La Maison en Petit Cube","Cie Spectabilis","théâtre d'objet/ Marionnettes des 6 ans",,,,,,,,,,
"JLB",,,"Mardi 25","10h30 et 17h","Théâtre du Passeur",,"5€","sv","Rendez-vous Contes","Yannick Lefeuvre","contes jusqu'à 3 ans",,,,,,,,,,
"CE",,,"Mardi 4","19h","Blue Zinc",,"0€","c",,"Apéro swing jazz",,"Open mic/instruments","scène ouverte",,,,,,,,
"TU",,,"Mardi 4","20h30","Comédie Le Mans",,"20€","sv","10 ans de mariage","Alil Vardar","Comédie",,,,,,,,,,
"TU","Ciné-débat",,"Mardi 4","20h","Les Cinéastes",,"tnc","sv","La Fabrique des Pandémies","Marie-Monique Robin",,,,,,,,"https://www.les-cineastes.fr/evenements/cine-debat-la-fabrique-des-pandemies/",,,
"zz","Soirée cabaret 70",,"Mercredi 12","20h30","Bistro broc café","Changé","au chapeau","c",,"Row Anna duo","chansons",,,,,,,,,,
"TU",,,"Mercredi 12","20h30","Comédie Le Mans",,"20€","sv","10 ans de mariage","Alil Vardar","Comédie",,,,,,,,,,
"JLB",,,"Mercredi 12","20h30","Eve scène universitaire",,"4 à 10€","sv","Qui a tué mon père","Et Alors ! ","théâtre",,,,,,,"etalors-compagnie.com",,,
"TU",,,"Mercredi 12","19h","Les Quinconces - Petit Théâtre",,"9 à 24€","sv","Le Verso des Images - une histoire de Louis Braille","Atelier Hors Champ",,,,,,,,"https://www.quinconces-espal.com/la-saison/le-verso-des-images",,,
"ce",,,"Mercredi 19","21h","Blue Zinc",,"0€","c",,"Open mic/instruments","scène ouverte",,,,,,,,,,
"TU",,,"Mercredi 19","20h30","Comédie Le Mans",,"tnc","sv","Adopte un Jules.com","E. Valentin & A. Gaston","Comédie",,,,,,,,,,
"ce",,,"Mercredi 26","19h30","Blue Zinc",,"0€","c",,"Apéro chansons",,,,,,,,,,,
"BL",,,"Mercredi 26","17h30","Espace culturel Scélia","Sargé-lès-le-Mans","5/7€","sv","Stella Maris","Digital Samovar",,,,,,,,,,,
"JLB","festival jazz Tempo",,"Mercredi 26","20h30","Eve scène universitaire",,"4 à 10€","c",,"KLAPP","jazz cinematographique","Go to the Dogs et Dudu Kouaté","Jazz",,,,,,,,
"BL",,,"Mercredi 26","15h","L’Entracte","Sablé-sur-Sarthe","8/10/13€","sv","Casse-Tête","Théâtre Bascule","jonglage",,,,,,,,,,
"AT",,,"Mercredi 26","15h","La Longère","Coulans-sur-Gée","4/7€ Résa: 02.72.88.00.37","sv","La mécanique du Petit Pierre","Cie Moulin en Herbe","spec. dès 6 ans",,,,,,,"https://www.culturelbn.fr/saison-culturelle/26-oct-la-mecanique-du-petit-pierre/",,,
"TU",,,"Mercredi 26","19h30","Le 108",,"0€","c",,"Blues Spirit","jam session",,,,,,,,,,
"JLB",,,"Mercredi 26","10h30 et 17h","Théâtre du Passeur",,"5€","sv","Rendez-vous Contes","Marie strehaiano","contes jusqu'à 3 ans",,,,,,,,,,
"zz","Soirée Cabaret",,"Mercredi 5","20h30","Bistro Broc Café","Changé","au chapeau","c",,"Olivia Deschamps",,,,,,,,,,,
"ce",,,"Mercredi 5","20h","Blue Zinc",,"0€","c",,"Boeuf Bal Folk",,,,,,,,,,,
"TU",,,"Mercredi 5","18h30","Brasserie Septante Deux",,"0€","sv","Circuits courts et sobriété dans la musique, on en parle ?","𝗟𝗼𝗹𝗮 𝗕𝗮𝗶̈, Eric Mielcarek, 𝗟𝗮𝗸𝘂𝗻 𝗞𝗮𝘆𝗿𝗶, 𝗡𝗶𝗰𝗼𝗹𝗮𝘀 𝗙𝗼𝘂𝗿𝗻𝗶𝗲𝗿","rencontre échanges",,,,,,,"https://www.facebook.com/events/1401123860398066",,,
"JLB",,,"Mercredi 5","20h","Centre Culturel Athéna","La Ferté-Bernard","8 à 17€","sv","Le discours",,"théâtre",,,,,,,,,,
"TU",,,"Mercredi 5","20h30","Comédie Le Mans",,"20€","sv","10 ans de mariage","Alil Vardar","Comédie",,,,,,,,,,
"JLB","complet",,"Mercredi 5","20h30","La Péniche","Allonnes",,"c",,"Marie-Fore","Folk","Roseland",,,,,,,,,
"TU",,,"Mercredi 5","20h30","Le Lézard",,"prix libre","c",,"Balboa to Bilbao","Noise 90's","Teenage Bed","folk",,,,,"https://www.youtube.com/watch?v=yifqf0eVR6Q","https://www.facebook.com/balboatobilbao/","https://www.youtube.com/watch?v=6K5rvwTmhes","https://www.facebook.com/teenagebed"
"TU",,,"Mercredi 5","21h","Le Zoo",,"au chapeau","c",,"Jam St Co Musicos","jam session",,,,,,,,,,
"zz",,,"Samedi 1","20h30","Bistro Broc Café","Changé","au chapeau","c",,"Djazarad-Rita","Jazz swing/funk/pop rock",,,,,,,,,,
"CE",,,"Samedi 1","hnc","Blue Zinc",,"0€","c",,"Open platine","scène ouverte",,,,,,,,,,
"TU",,,"Samedi 1","18h","Comédie Le Mans",,"20€","sv","Les hommes sont des femmes comme les autres","Manuel Montero","Comédie",,,,,,,,,,
"TU",,,"Samedi 1","20h30","Comédie Le Mans",,"25€","sv","Titoff",,"Humour",,,,,,,,,,
"zz",,,"Samedi 1","20h30","L’Éolienne","Arnage","10 à 20€","sv","Le dindon","Cie Viva","théatre",,,,,,,,,,
"TU","La fièvre du samedi matin",,"Samedi 1","11h","La Fonderie",,"prix libre","sv","À la découverte de Genarín","Ensemble Offrandes","opéra",,,,,,,"https://www.ensembleoffrandes.com/index.html",,,
"TU","Carte Blanche aux Ambassadeurs.ices",,"Samedi 1","16h","Les Cinéastes",,"6.5€","sv","Edward aux mains d'argent","Tim Burton",,,,,,,,"https://www.les-cineastes.fr/evenements/carte-blanche-aux-ambassadeur-ices-edward-aux-mains-dargent/",,,
"JLB","Festival Folkiri",,"Samedi 1","20h30","Les Saulnières ",,"9 à 15€","c",,"ADAR","Pop Rock","21 BOUTONS",,"BARGAINATT",,,,,,,
