,"festival","style_festival","date","horaire","lieu","ville","prix","genre","spectacle","artiste1","style1","artiste2","style2","artiste3","style3","artiste4","style4","lien1","lien2","lien3","lien4"
"al","Le Mans fait son Cirque",,"Samedi 25","18h","promenade Newton",,"0 €","sv","En attendant le grand soir","Cie Le doux supplice","cirque dès 7 ans",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/en-attendant-le-grand-soir/",,,
"TU",,,"Samedi 4","21h","Théâtre de l’Acthalia",,"15 à 18€","sv","Double Jeu","Annie Camacho & Philippe Corbé","th.",,,,,,,,,,
"al",,,"Vendredi 10","20h30","La Bertoche",,"10 €","sv","RING",,"th. contemporain sur le thème du couple",,,,,,,,,,
"al","Les ateliers théâtre","th. amateur","Vendredi 10","dès 18h","L'Envol","La Bazoge","Au chapeau","sv","Manoir en folie + Salles jeunes + Roméo et Juliette + Bistrot d'Enfer","th.",,,,,,,,"https://labazoge.fr/manifestations-spectacle-a-lenvol/",,,
"TU",,,"Vendredi 10","21h","Théâtre de l’Acthalia",,"15 à 18€","sv","La promesse de l'aube","Franck Desmedt","th.",,,,,,,,,,
"al","Le Mans fait son Cirque",,"Vendredi 17","18h30","Cité du cirque",,"0 €","sv","Eclats de Cirque","Elèves du Plongeoir","cirque tt public",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/eclats-de-cirque/",,,
"al",,,"Vendredi 17","20h30","Théâtre de Chaoué","Allonnes","prix libre","sv","Dans la joie et la bonne humeur (ou Comment Bruno a cultivé un helicobacter pylori)","Atelier amateur du théâtre de Chaoué",,,,,,,,,,,
"al","Le Mans fait son Cirque",,"Vendredi 17","20h30","Théâtre Paul Scarron",,"4/8€","sv","a snack to be","Cie La Main S'affaire",,,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/a-snack-to-be/",,,
"al","Le Mans fait son Cirque",,"Vendredi 24","20h30","chapiteau promenade Newton",,"4/8€","sv","Foutoir Céleste","Cirque Exalté","cirque dès 5 ans",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/foutoir-celeste/",,,
"al","Le Mans fait son Cirque",,"Vendredi 24","20h30","chapiteau promenade Newton",,"4/8€","sv","Les fauves / 1ère partie : la ménagerie","Cie EA EO","cirque dès 9 ans",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/les-fauves-la-menagerie/",,,
"al","Le Mans fait son Cirque",,"Vendredi 24","22h","chapiteau promenade Newton",,"4/8€","sv","Pandax","Cirque La Cie","cirque dès 9 ans",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/pandax/",,,
"al","Le Mans fait son Cirque",,"Vendredi 24","19h30","Gymnase A. Fournier",,"4/8€","sv","La Mêlée","Cie 220 Vols","cirque dès 6 ans",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/la-melee/",,,
"al","Le Mans fait son Cirque",,"Vendredi 24","19h","Ile promenade Newton",,"4/8€","sv","L'Empreinte","Cie L'Attraction Céleste","cirque dès 10 ans",,,,,,,"https://www.lemansfaitsoncirque.fr/spectacles/lempreinte/",,,
"MG","Le Mans fait son Cirque",,"Vendredi 3","20h","L'Alambik MJC Ronceray","Le Mans","Au chapeau","sv","Tournoi d'improvisation","MIAM","théâtre",,,,,,,,,,
"TU","Le Mans fait son Cirque",,"Vendredi 3","21h","Théâtre de l’Acthalia",,"15 à 18€","sv","Double Jeu","Annie Camacho & Philippe Corbé","th.",,,,,,,,,,
"JB","Le Mans fait son Cirque",,"Samedi 25","21h","Le Barouf",,"0 €","sv ","Stand up",,"4 humoristes",,,,,,,,,,
