initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
ce,Dansez au Port,bal folk,Samedi 2,16h-00h,Port du Mans,,0 €,sv,,,,,,,,,,,,,,,,
at,Festival Laver'night,concerts,Samedi 2,18h,Terrain de jeu,Lavernat,8 à 10 €,c,,Broussaï,reggae,,Sans prétention,Musique festive à percussions,,Gangstar fanfare,fanfare & chars déambulant,,Pas le vendredi ,pop rock,,,,
ce,,,Samedi 23,19h,Blue Zinc,,7 €,sv,Un grain de folie,Murielle Roger,One woman show,,,,,,,,,,,,,
zz,,,Samedi 23,20h30,Brasserie Septante Deux,,prix libre,c,,Big Wool,pop orchestral/angers,,,,,,,,,,,,,
tu,,,Samedi 23,19h,Guinguette de la Gèmerie,Arnage,0 €,c,,Mr. Tree,rock,,,,,,,,,,,,,
zz,,,Samedi 23,18h30,Guinguette des Tanneries,,au chapeau,c,,Flying Bricks,rock acoustique,,,,,,,,,,,,,
zz,,,Samedi 23,16h,L'Îlot Co,Saint-Georges-du-Bois,,sv,,,rencontre musicale avec le Boucan des Arts,,les Courmédiens,th.,,,,,,,,,,
zz,,,Samedi 23,20h30,L’Éolienne,Arnage,10 à 20€,sv,"Les pompes funèbres Bemot, une belle mort vaut mieux qu'une mauvaise vie",cie Cavalcade,comédie,,,,,,,,,,,,,
zz,,,Samedi 23,20h30,Les Saulnières ,,8 & 12€,sv,Regarde moi dans les yeux pendant 4 minutes,collectif Grand maximum,,,,,,,,,,,,,,
at,,,Samedi 23,16h,Place de la République (déambulation),,0 €,sv,50 nuances de moir(es),Cie 100DRA SEINTROZ,danse,,,,,,,,,,,,,
ce,Entre cours & jardins,,Samedi 23,11h/12h/14h/15h/16h/17h,Rue des 3 Sonnettes,Le Mans,au chapeau,c,,Le Golem,micro-concerts ch.fr.,,,,,,,,,,,,,
ce,Entre cours & jardins,,Samedi 23,18h30,Salon de la rue des 3 Sonnettes,Le Mans,au chapeau,sv,La Boite à humeur du Golem,Le Golem,sp.mus.,,,,,,,,,,,,,
ce,,,Samedi 30,19h,Blue Zinc,,7 €,sv,Spectacle de Malaade,Double A,One woman show,,,,,,,,,,,,,
ce,,,Samedi 30,21h30,Blue Zinc,,au chapeau,c,,Feuille,pop rap (concert + DJ set),,,,,,,,,,,,,
at,Festival de théâtre amateur,,Samedi 30,14h,Espace Scélia,Sargé-lès-le-Mans,0 €,sv,Martin sisters,Atelier du Val'Rhonne,,Dom Juan ou les limbes de la mémoire,La 7e Cie,,"Hortense a dit ""J'men fous !""",Théâtre des Fracassés,,Ulysse 23,Théâtre Fayard,,De l'encre sous les planches ! Théâtre Cie,,,
tu,,,Samedi 30,20h,Le Barouf,,0 €,c,,Open Mic #5 by Hunterz feat. Vince & Hausmann,Hip-hop,,,,,,,,,,,,,
ce,Sieste musicale,,Samedi 30,15h30,Médiathèque Aragon,,0 €,c,,,Dans les étoiles,,,,,,,,,,,,,
ce,,,Samedi 30,20h,Salle des fêtes,La Guierche,tnc,c,,Sandra Caroll & Nicolas Macsana,Beatles cover,,,,,,,,,,,,,
tu,,,Samedi 9,19h,Guinguette de la Gèmerie,Arnage,0 €,c,,ACI/DITE,reprises AC/DC,,,,,,,,,,,,,
tu,,,Samedi 9,20h,Le Lapin Blanc,,0 €,c,,John Maine,rock cover,,,,,,,,,,,,,
tu,,,Samedi 9,21h30,Le Lézard,,au chapeau,c,,Nergal,rap/Montceau-les-mines,,Wuu Jia,rap/le Snam,,,,,,,,,,
ce,Sarth'n beer fest.#3 + 5 ans du lab,"bières, vins, bien manger et musique",Samedi 9,14h-1h,Le Local a Bières,,libre / conso,c,,Les Midshell,rock pop,,,,,,,,,,,,,
at,,,Samedi 9,15h30,Pôle culturel,Champagné,0 €,sv,sauve-mouton,Cie Discrète,sp. de mime cartoon,,,,,,,,,,,,,
ce,Open the Gates #1,,Vendredi 1,21h,Brasserie Septante Deux,,prix libre,c,,Shadéblauck,soul-rap,,Sarella,rap,,,,,,,,,,
tu,,,Vendredi 1,21h30,Chez Marcelle,,0 €,c,,Kevber,indie dance,,,,,,,,,,,,,
tu,,,Vendredi 1,20h,La pince à vélo,Teloché,au chapeau,c,,Sham' Rock Blues,rock'n roll,,,,,,,,,,,,,
tu,,,Vendredi 1,20h,Le Barouf,,0 €,c,,Shake It Like A Caveman,One man band vaudou-blues-rock/USA,,,,,,,,,,,,,
tu,,,Vendredi 1,20h,Le Lapin Blanc,,0 €,c,,Syl,blues,,,,,,,,,,,,,
tu,Garage 5,,Vendredi 1,22h,Le Lézard,,au chapeau,c,,Fatigue suspecte,hardcore,,descendeur,NoDeepCore,,,,,,,,,,
ce,1 an du Blue Zinc/La Fourche à Tigre,,Vendredi 15,19h,Blue Zinc,,prix libre,c,,Tomi Marx,acid pop/Alençon,,,,,,,,,,,,,
