initiales,festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle1,artiste1,style1,spectacle2,artiste2,style2,spectacle3,artiste3,style3,spectacle4,artiste4,style4,lien1,lien2,lien3,lien4
tu,Connexions Festival,,Mercredi 17,14h30,Les Saulnières ,,4 à 6€,c,,POTSIKEI,duo beatbox,,,,,,,,,,,,,
tu,Superforma,,Mardi 23,20h30,Eve scène universitaire,,4 à 10€,c,,nosax noclar,duo clarinette sax/no jazz,,,,,,,,,,,,,
tu,Superforma,,Mercredi 24,20h,Eve scène universitaire,,4 à 10€,c,,inui,no jazz,,,,,,,,,,,,,
tu,,,Jeudi 11,20h30,Théâtre de l’Écluse,,au chapeau,sv,363,Cie Marie Lenfant,trio danse contemporaine,,,,,,,,,,,,,
tu,,,Vendredi 12,20h30,Théâtre de l’Écluse,,au chapeau,sv,363,Cie Marie Lenfant,trio danse contemporaine,,,,,,,,,,,,,
tu,,,Samedi 13,20h30,Théâtre de l’Écluse,,au chapeau,sv,363,Cie Marie Lenfant,trio danse contemporaine,,,,,,,,,,,,,
tu,,,Jeudi 18,20h30,Théâtre de l’Écluse,,au chapeau,sv,363,Cie Marie Lenfant,trio danse contemporaine,,,,,,,,,,,,,
tu,,,Vendredi 19,20h30,Théâtre de l’Écluse,,au chapeau,sv,363,Cie Marie Lenfant,trio danse contemporaine,,,,,,,,,,,,,
tu,,,Samedi 20,20h30,Théâtre de l’Écluse,,au chapeau,sv,363,Cie Marie Lenfant,trio danse contemporaine,,,,,,,,,,,,,
tu,,,Samedi 13,20h,La Piraterie,,0€,c,,grisby,soul funk,,zouj,rock soul,,,,,,,,,,
tu,,,Vendredi 26,20h,La Piraterie,,0€,c,,trans chacal express,electropop-funk,,,,,,,,,,,,,
tu,,,Samedi 6,18h,Le Poulpe à Vapeur,,2€,sv,Sur le Fil,Le Poulpe à Vapeur,"installation, performance visuelle et sonore",,,,,,,,,,,,,
tu,,,Dimanche 7,16h,Le Poulpe à Vapeur,,2€,sv,Sur le Fil,Le Poulpe à Vapeur,"installation, performance visuelle et sonore",,,,,,,,,,,,,
