date|event

11|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Bouvard et Pécuchet"</strong>  <em>(lecture)</em></span><br>&nbspThéâtre du Passeur <br>&nbsp18h30, 8€</p>

11|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">Théâtre de l’Acthalia // <strong>"Kessel, la liberté à tout prix"</strong> Franck Desmedt <em>(th./avignon off)</em></span><br>&nbspThéâtre Paul Scarron <br>&nbsp20h, 10 à 18€</p>

12|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>SNOOP DOG</strong> <em>(ouaf ouaf)</em></span><br>&nbspLe Bar à Chats <br>&nbsp11h12, 69€</p>

12|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">Théâtre de l’Acthalia // <strong>"Kessel, la liberté à tout prix"</strong> Franck Desmedt <em>(th./avignon off)</em></span><br>&nbspThéâtre Paul Scarron <br>&nbsp16h, 10 à 18€</p>

12|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Bouvard et Pécuchet"</strong>  <em>(lecture)</em></span><br>&nbspThéâtre du Passeur <br>&nbsp17h, 8€</p>

14|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong> Scène ouverte bruno et jacky</strong></span><br>&nbspBistro Broc Café Changé, <br>&nbsp20h30, au chapeau</p>

14|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>JAM JAZZ</strong> <em>(session jam)</em></span><br>&nbspBrasserie Septante Deux <br>&nbsp20h30, 0€</p>

14|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"De l'or au bout des doigts"</strong> Fanny Bouffort <em>(th. d'objets +7 ans)</em></span><br>&nbspSalle Jean Carmet <br>&nbsp18h30, 2.5 à 6€</p>

15|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">Tempo // <strong> Scène ouverte + jam</strong></span><br>&nbspBlue Zinc <br>&nbsp20h, au chapeau </p>

15|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Histoire à danser"</strong> Cie Cet Eté <em>(jeune public)</em></span><br>&nbspLe Rabelais Changé, <br>&nbsp10h, 4 à 6€</p>

15|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">Scènes Complices  // <strong>"Révoltes ou tentavies de l'échec"</strong> Cie les filles du renard pâle <em>(cirque)</em></span><br>&nbspCité du cirque <br>&nbsp19h, 10 à 15€</p>

16|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>ALIEN TEARS</strong> <em>(solo post punk cold/tours)</em></span><br>&nbspBrasserie Septante Deux <br>&nbsp20h30, prix libre</p>

16|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong> Musique irlandaise</strong></span><br>&nbspBlue Zinc <br>&nbsp21h, au chapeau</p>

16|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Gisele Halimi, une farouche liberté"</strong>  <em>(th.)</em></span><br>&nbspCentre Culturel Athéna La Ferté-Bernard, <br>&nbsp20h, 8 à 22€</p>

16|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">Scènes Complices  // <strong>" Révoltes ou tentavies de l'échec"</strong> Cie les filles du renard pâle <em>(cirque)</em></span><br>&nbspCité du cirque <br>&nbsp20h, 10 à 15€</p>

16|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Le Moche"</strong> Collectif la Capsule <em>(th.)</em></span><br>&nbspThéâtre de Chaoué Allonnes, <br>&nbsp20h, prix libre </p>

16|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">Théâtre de l’Acthalia // <strong>"Un parfum de vérité "</strong> Création Acthalia <em>(th.)</em></span><br>&nbspThéâtre Paul Scarron <br>&nbsp20h30, 12 à 15€</p>

16|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>Le Snam Comedy club</strong> <em>(humour)</em></span><br>&nbspBlue Zinc <br>&nbsp20h30, au chapeau</p>

16|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Le jeu de l'amour et du hasard"</strong> Collectif Pièce Détachée <em>(th.)</em></span><br>&nbspThéâtre de l’Écluse <br>&nbsp20h30, 10€ résa au 07 81 84 35 62</p>

16|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Inconstance"</strong> Constance <em>(humour)</em></span><br>&nbspSalle Jean Carmet Allonnes, <br>&nbsp20h30, 16 à 22€</p>

17|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>JOHN MAINE</strong> <em>(rock cover)</em></span><br>&nbspLe Lapin Blanc <br>&nbsp20h, 0€</p>

17|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>ROCK EN SCÈNE</strong></span><br>&nbspBistro Broc Café Changé, <br>&nbsp20h30, au chapeau</p>

17|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>AZURYTE</strong> <em>(ch. fr.)</em></span><br>&nbspLe Zoo <br>&nbsp21h, 0€</p>

17|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"3 pm (3 petits moments)"</strong> Collectif Tutti <em>(jeune public musique et danse)</em></span><br>&nbspL'Alambik MJC Ronceray <br>&nbsp11h & 18h, 5 à 7€</p>

17|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>Club lecture par Marie-Anne Cornuel et Justine Boulet</strong></span><br>&nbspBibliothèque Universitaire <br>&nbsp12h, 0€</p>

17|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Oh Mer"</strong> La perenne Compagnie <em>(th.)</em></span><br>&nbspEspace Henri Salvador Coulaines, <br>&nbsp19h, 5,5 à 8€</p>

17|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">Théâtre de l’Acthalia // <strong>"Un parfum de vérité "</strong> Création Acthalia <em>(th.)</em></span><br>&nbspThéâtre Paul Scarron <br>&nbsp20h30, 12 à 15€</p>

17|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Art dans le vide"</strong>  <em>(dj set + expo)</em></span><br>&nbspBlue Zinc <br>&nbsp20h30, au chapeau</p>

17|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"L'Iliade"</strong> Cie Thespis <em>(th.)</em></span><br>&nbspEspace culturel L'Orée du Bois La Chapelle-Saint-Aubin, <br>&nbsp20h30, 4 à 10€</p>

17|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Le jeu de l'amour et du hasard"</strong> Collectif Pièce Détachée <em>(th.)</em></span><br>&nbspThéâtre de l’Écluse <br>&nbsp20h30, 10€ résa sms au 07 81 84 35 62</p>

17|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Rêves"</strong> Cirque ukrainien Inshi</span><br>&nbspSalle Coppélia La Flèche, <br>&nbsp20h30, 7 à 15€</p>

18|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">Hivernal'Rock #9 <em>(festvial rock "made in sarthe")</em> // <strong>THE BLUE  CHEESE</strong><strong> + CANNON FODDER</strong><strong> + PAS LE VENDREDI</strong><strong> + POLITIC LOVERS</strong></span><br>&nbspL'Espace du Narais Saint-Mars-la-Brière, <br>&nbsp18h, 5€</p>

18|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>PEU ABRANTES</strong> <em>(jazz brésilien)</em></span><br>&nbspBoire du bon Saint-Pavace, <br>&nbsp20h, 15€</p>

18|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>SWEET COVES</strong></span><br>&nbspBistro Broc Café Changé, <br>&nbsp20h30, au chapeau</p>

18|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">Superforma fête ses 10 ans // <strong>CHARLÉLIE COUTURE </strong> <em>(ch. fr)</em><strong> + ODA</strong> <em>(folk)</em></span><br>&nbspSalle Jean Carmet Allonnes, <br>&nbsp20h30, 20 à 30€</p>

18|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>NAMELESS</strong></span><br>&nbspLe Zoo <br>&nbsp21h, 0€</p>

18|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">BLUE DOG: CARITATEUF 2024 <em>(techno all night long)</em> // <strong>JEAN TERECHKOVA + KOZMAR + BUNZEN + REITER</strong></span><br>&nbspL'Oasis <br>&nbsp23h, 10 (prévente) à 15€</p>

18|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D">Théâtre de l’Acthalia // <strong>"Un parfum de vérité "</strong> Création Acthalia <em>(th.)</em></span><br>&nbspThéâtre Paul Scarron <br>&nbsp20h30, 12 à 15€</p>

18|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>Clément Corbiat</strong> <em>(one man show )</em></span><br>&nbspBlue Zinc <br>&nbsp20h30, au chapeau</p>

18|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Le jeu de l'amour et du hasard"</strong> Collectif Pièce Détachée <em>(th.)</em></span><br>&nbspThéâtre de l’Écluse <br>&nbsp20h30, 10€ résa sms au 07 81 84 35 62</p>

18|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Les candiratons"</strong>  <em>(th. impro)</em></span><br>&nbspLe Rabelais Changé, <br>&nbsp20h30, 8 à 12€</p>

18|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>"Tais-toi François"</strong> Tréteaux de Malestable <em>(th.)</em></span><br>&nbspSalle Mélusine Bonnétable, <br>&nbsp21h, 5 à 8€</p>

19|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong>CONCERT D'ORCHESTRE</strong> <em>(sympho'campus)</em></span><br>&nbspEspace Scélia Sargé-lès-le-Mans, <br>&nbsp15h30, 10 à 13€</p>

19|<p style="font-family: Lucida Console">&ensp;&#10087 <span style="color:#CF8E6D"><strong> Concert des orchestres de la musique municipale du mans</strong></span><br>&nbspPalais des Congrès <br>&nbsp16h, 0€</p>

